sale_date,item_id,sale_id,product_id,quantity,original_price,unit_price,discount_applied,discount_percent,discounted,item_total,channel,channel_campaigns,total_amount,product_name,category,brand,color,size,catalog_price,cost_price,customer_id,gender,age_range,signup_date,first_name,last_name,email,country
2025-06-16,2270,658,403,1,81.8,81.8,0.0,0.00%,0,81.8,App Mobile,App Mobile,374.25,Elegant Satin Dress,Dresses,Tiva,Red,L,81.8,45.12,835,Female,46-55,2025-04-26,Dusty,Comerford,dcomerfordn6@google.nl,Portugal
2025-06-17,1170,336,284,1,81.79,81.79,0.0,0.00%,0,81.79,E-commerce,Website Banner,536.47,Essential Cotton Shoes,Shoes,Tiva,White,35,81.79,35.02,790,Female,16-25,2025-04-26,Beale,Seeds,bseedslx@phpbb.com,France
2025-04-16,2496,1255,71,1,80.76,80.76,0.0,0.00%,0,80.76,App Mobile,App Mobile,104.81,Modern Ribbed Trousers,Pants,Tiva,Red,XL,80.76,51.01,464,Female,36-45,2025-04-14,Juan,Blacklock,jblacklockcv@discuz.net,Germany
2025-05-06,1273,331,98,1,78.52,78.52,0.0,0.00%,0,78.52,App Mobile,App Mobile,263.87,Modern Boxy Shoes,Shoes,Tiva,Black,38,78.52,41.48,100,Female,26-35,2025-01-30,Godfry,Cockerill,gcockerill2r@vimeo.com,Italy
2025-06-15,1829,1079,98,1,78.52,78.52,0.0,0.00%,0,78.52,App Mobile,App Mobile,173.84,Modern Boxy Shoes,Shoes,Tiva,Black,38,78.52,41.48,837,Female,46-55,2025-03-02,,Kilby,lkilbyn8@wordpress.com,Germany
2025-04-14,3221,478,98,1,78.52,78.52,0.0,0.00%,0,78.52,App Mobile,App Mobile,162.44,Modern Boxy Shoes,Shoes,Tiva,Black,38,78.52,41.48,957,Female,16-25,2025-01-18,Amandie,Lotterington,alotteringtonqk@cbc.ca,France
2025-04-06,2442,1082,257,1,77.9,77.9,0.0,0.00%,0,77.9,App Mobile,App Mobile,298.6,Relaxed Crew Shoes,Shoes,Tiva,Blue,40,77.9,53.04,774,Female,46-55,2025-05-21,Auria,Gladdifh,agladdifhlh@spotify.com,Portugal
2025-04-21,730,747,413,1,76.15,76.15,0.0,0.00%,0,76.15,App Mobile,App Mobile,250.93,Elegant Satin Shoes,Shoes,Tiva,Black,40,76.15,52.18,442,Female,16-25,2025-04-22,Reinald,Vial,,Germany
2025-05-29,2917,258,392,1,75.47,75.47,0.0,0.00%,0,75.47,E-commerce,Website Banner,439.49,Elegant Wrap Shoes,Shoes,Tiva,Black,40,75.47,39.53,94,Female,16-25,2025-04-04,Karine,Confait,kconfait2l@archive.org,France
2025-05-20,3142,1144,392,1,75.47,75.47,0.0,0.00%,0,75.47,E-commerce,Website Banner,141.99,Elegant Wrap Shoes,Shoes,Tiva,Black,40,75.47,39.53,700,Female,16-25,2025-03-08,Dalston,Daine,ddainejf@e-recht24.de,Portugal
2025-04-04,209,644,224,1,75.4,75.4,0.0,0.00%,0,75.4,E-commerce,Website Banner,231.66,Relaxed Linen Dress,Dresses,Tiva,Red,L,75.4,38.48,374,Female,16-25,2025-03-03,Keelby,Stringman,kstringmanad@edublogs.org,Italy
2025-04-20,1138,991,224,1,75.4,75.4,0.0,0.00%,0,75.4,App Mobile,App Mobile,200.08,Relaxed Linen Dress,Dresses,Tiva,Red,L,75.4,38.48,734,Female,46-55,2025-03-28,,Blunsom,zblunsomkd@posterous.com,Netherlands
2025-04-21,1968,338,459,1,75.17,75.17,0.0,0.00%,0,75.17,E-commerce,Website Banner,410.86,Bold High-Waist Dress,Dresses,Tiva,Green,XS,75.17,31.34,670,Female,36-45,2025-04-21,Eachelle,Artois,eartoisil@state.tx.us,Italy
2025-05-18,2063,617,459,1,75.17,75.17,0.0,0.00%,0,75.17,E-commerce,Website Banner,566.22,Bold High-Waist Dress,Dresses,Tiva,Green,XS,75.17,31.34,62,Female,56-65,2025-03-30,,Raoult,jraoult1p@aboutads.info,Spain
2025-06-14,2211,660,116,1,74.81,74.81,0.0,0.00%,0,74.81,App Mobile,App Mobile,368.79,Modern High-Waist Trousers,Pants,Tiva,Green,M,74.81,49.48,86,Female,46-55,2025-04-09,Allene,Penella,apenella2d@blogspot.com,Netherlands
2025-04-17,3058,863,359,1,74.28,74.28,0.0,0.00%,0,74.28,E-commerce,Website Banner,384.64,Tailored Silk Shoes,Shoes,Tiva,Blue,38,74.28,50.66,39,Female,36-45,2025-04-05,Brant,Camel,bcamel12@mediafire.com,France
2025-06-16,1707,420,320,1,74.26,74.26,0.0,0.00%,0,74.26,App Mobile,App Mobile,503.76,Essential Crew Dress,Dresses,Tiva,Blue,S,74.26,35.28,828,Female,16-25,2025-03-08,Jock,Kellert,jkellertmz@techcrunch.com,France
2025-05-23,1831,191,320,1,74.26,74.26,0.0,0.00%,0,74.26,App Mobile,App Mobile,381.4,Essential Crew Dress,Dresses,Tiva,Blue,S,74.26,35.28,367,Female,46-55,2025-03-19,Samantha,Rebeiro,srebeiroa6@1688.com,Netherlands
2025-04-30,2454,1013,420,1,72.58,72.58,0.0,0.00%,0,72.58,App Mobile,App Mobile,178.68,Elegant Sleeveless Shoes,Shoes,Tiva,Green,36,72.58,45.41,296,Female,16-25,2025-06-02,Sherill,Jaksic,sjaksic87@reverbnation.com,France
2025-04-06,732,276,358,1,71.86,71.86,0.0,0.00%,0,71.86,App Mobile,App Mobile,,Tailored Wrap Set,Sleepwear,Tiva,Blue,L,71.86,41.37,420,Female,36-45,2025-03-07,Gunter,Croster,gcrosterbn@goodreads.com,Germany
2025-04-30,202,473,398,1,71.15,71.15,0.0,0.00%,0,71.15,E-commerce,Website Banner,270.72,Elegant Linen Set,Sleepwear,Tiva,Red,L,71.15,37.62,820,Female,56-65,2025-01-29,Rosamund,Pratten,rprattenmr@blog.com,Spain
2025-05-29,3189,179,379,1,70.82,70.82,0.0,0.00%,0,70.82,App Mobile,App Mobile,525.72,Essential Cotton Trousers,Pants,Tiva,White,L,70.82,45.63,663,Female,26-35,2025-03-08,Urbano,Bilney,ubilneyie@cbslocal.com,Netherlands
2025-05-24,3113,482,463,1,70.56,70.56,0.0,0.00%,0,70.56,App Mobile,App Mobile,306.9,Bold Boxy Dress,Dresses,Tiva,Blue,S,70.56,44.02,272,Female,56-65,2025-05-25,Corena,Santostefano.,csantostefano7j@csmonitor.com,Netherlands
2025-05-31,41,581,31,1,69.82,69.82,0.0,0.00%,0,69.82,E-commerce,Website Banner,516.66,Soft Silk Trousers,Pants,Tiva,White,L,69.82,40.65,125,Female,46-55,2025-05-05,Leonora,Moyler,lmoyler3g@bing.com,Germany
2025-05-20,1406,31,31,1,69.82,69.82,0.0,0.00%,0,69.82,App Mobile,App Mobile,292.78,Soft Silk Trousers,Pants,Tiva,White,L,69.82,40.65,776,Female,56-65,2025-03-18,Phineas,Cowden,pcowdenlj@stumbleupon.com,Portugal
2025-05-22,2490,424,31,1,69.82,69.82,0.0,0.00%,0,69.82,App Mobile,App Mobile,397.38,Soft Silk Trousers,Pants,Tiva,White,L,69.82,40.65,956,Female,46-55,2025-04-02,Ferne,Langmuir,flangmuirqj@hatena.ne.jp,Portugal
2025-04-23,929,33,353,1,69.54,69.54,0.0,0.00%,0,69.54,E-commerce,Website Banner,227.32,Relaxed High-Waist Trousers,Pants,Tiva,White,XS,69.54,41.56,805,Female,26-35,2025-02-21,Rahal,Enderby,renderbymc@wired.com,Germany
2025-04-23,22,832,360,1,69.48,69.48,0.0,0.00%,0,69.48,E-commerce,Website Banner,266.58,Tailored Boxy Tee,T-Shirts,Tiva,Green,M,69.48,39.79,570,Female,16-25,2025-04-13,Bernetta,,bblinmanft@ustream.tv,Spain
2025-05-27,1785,670,360,1,69.48,69.48,0.0,0.00%,0,69.48,App Mobile,App Mobile,173.7,Tailored Boxy Tee,T-Shirts,Tiva,Green,M,69.48,39.79,820,Female,56-65,2025-01-29,Rosamund,Pratten,rprattenmr@blog.com,Spain
2025-05-31,684,209,474,1,68.47,68.47,0.0,0.00%,0,68.47,App Mobile,App Mobile,343.05,Bold Cotton Shoes,Shoes,Tiva,Red,XS,68.47,45.69,436,Female,26-35,2025-03-10,Adler,Ridgers,aridgersc3@tripod.com,Germany
2025-05-16,1253,1014,474,1,68.47,68.47,0.0,0.00%,0,68.47,E-commerce,Website Banner,,Bold Cotton Shoes,Shoes,Tiva,Red,XS,68.47,45.69,578,Female,16-25,2025-04-03,Dylan,Vreiberg,dvreibergg1@123-reg.co.uk,Germany
2025-04-26,3167,306,486,1,68.03,68.03,0.0,0.00%,0,68.03,E-commerce,Website Banner,257.31,T-Shirts Drop 4,T-Shirts,Tiva,Black,M,68.03,45.6,566,Female,36-45,2025-02-11,Erna,Hoble,ehoblefp@loc.gov,Italy
2025-05-31,3055,42,470,1,67.73,67.73,0.0,0.00%,0,67.73,App Mobile,App Mobile,186.91,Sleepwear Drop 2,Sleepwear,Tiva,White,XL,67.73,46.66,191,Female,16-25,2025-03-20,Helaina,Callum,hcallum5a@chronoengine.com,Germany
2025-05-16,1724,1213,67,1,67.37,67.37,0.0,0.00%,0,67.37,E-commerce,Website Banner,365.27,Modern Crew Tee,T-Shirts,Tiva,Blue,XS,67.37,29.8,155,Female,26-35,2025-02-19,Tony,Bothen,tbothen4a@angelfire.com,Germany
2025-04-15,1762,1178,239,1,66.99,66.99,0.0,0.00%,0,66.99,App Mobile,App Mobile,286.19,Polished Wrap Trousers,Pants,Tiva,Green,XL,66.99,39.77,274,Female,16-25,2025-04-02,Ade,Trice,atrice7l@stanford.edu,Germany
2025-05-31,1356,1128,307,1,66.87,66.87,0.0,0.00%,0,66.87,App Mobile,App Mobile,96.84,Essential Crew Tee,T-Shirts,Tiva,White,S,66.87,37.11,759,Female,36-45,2025-02-09,Turner,Janu,tjanul2@tinyurl.com,France
2025-06-13,1050,180,197,1,66.68,66.68,0.0,0.00%,0,66.68,App Mobile,App Mobile,190.08,Polished Linen Shoes,Shoes,Tiva,Black,35,66.68,41.19,641,Female,36-45,2025-03-21,Siffre,Morais,smoraishs@constantcontact.com,Spain
2025-04-15,2153,1272,197,1,66.68,66.68,0.0,0.00%,0,66.68,App Mobile,App Mobile,188.26,Polished Linen Shoes,Shoes,Tiva,Black,35,66.68,41.19,254,Female,36-45,2025-04-21,Emilee,Matus,ematus71@example.com,Italy
2025-04-21,2909,370,131,1,66.63,66.63,0.0,0.00%,0,66.63,App Mobile,App Mobile,186.88,Classic Cotton Set,Sleepwear,Tiva,Black,S,66.63,35.0,225,Female,26-35,2025-03-12,Sayre,Rabjohns,srabjohns68@tuttocitta.it,France
2025-04-30,719,450,478,1,66.52,66.52,0.0,0.00%,0,66.52,App Mobile,App Mobile,540.03,T-Shirts Drop 2,T-Shirts,Tiva,Blue,XL,66.52,37.66,640,Female,26-35,2025-01-20,Kalina,Gadman,,France
2025-05-20,2134,1144,478,1,66.52,66.52,0.0,0.00%,0,66.52,E-commerce,Website Banner,141.99,T-Shirts Drop 2,T-Shirts,Tiva,Blue,XL,66.52,37.66,700,Female,16-25,2025-03-08,Dalston,Daine,ddainejf@e-recht24.de,Portugal
2025-05-16,1640,183,70,1,66.33,66.33,0.0,0.00%,0,66.33,E-commerce,Website Banner,161.43,Modern Boxy Dress,Dresses,Tiva,White,L,66.33,46.17,871,Female,26-35,2025-04-08,Norrie,Sedwick,nsedwicko6@ezinearticles.com,Netherlands
2025-06-14,185,1136,435,1,64.5,64.5,0.0,0.00%,0,64.5,App Mobile,App Mobile,111.97,Tailored Wrap Trousers,Pants,Tiva,Blue,XL,64.5,27.43,460,Female,56-65,2025-02-24,Josie,Loakes,jloakescr@kickstarter.com,Netherlands
2025-05-28,1624,54,435,1,64.5,64.5,0.0,0.00%,0,64.5,App Mobile,App Mobile,416.34,Tailored Wrap Trousers,Pants,Tiva,Blue,XL,64.5,27.43,517,Female,26-35,2025-02-03,Chloe,Justis,cjustisec@exblog.jp,Netherlands
2025-05-06,1894,204,276,1,64.44,64.44,0.0,0.00%,0,64.44,E-commerce,Website Banner,206.76,Relaxed High-Waist Tee,T-Shirts,Tiva,Red,M,64.44,35.47,163,Female,16-25,2025-03-18,,Cattermoul,gcattermoul4i@yahoo.co.jp,Italy
